series,location,keywords,numpages,articleno,booktitle,doi,url,address,publisher,isbn,year,title,author,ENTRYTYPE,ID,pages,month,journal,issn,number,volume,issue_date,note
DEBS '21,"Virtual Event, Italy","air quality index, data streaming, event processing",6.0,,Proceedings of the 15th ACM International Conference on Distributed and Event-Based Systems,10.1145/3465480.3467836,https://doi.org/10.1145/3465480.3467836,"New York, NY, USA",Association for Computing Machinery,9781450385558.0,2021,The DEBS 2021 grand challenge: analyzing environmental impact of worldwide lockdowns,"Tahir, Jawad and Doblander, Christoph and Mayer, Ruben and Frischbier, Sebastian and Jacobsen, Hans-Arno",inproceedings,10.1145/3465480.3467836,136–141,,,,,,,
,"Oulu, Finland",,,,,,,"New York, NY, USA",Association for Computing Machinery,9798400700446.0,2023,EASE '23: Proceedings of the 27th International Conference on Evaluation and Assessment in Software Engineering,,proceedings,10.1145/3593434,,,,,,,,
,"Ludwigsburg, Germany",,,,,,,"New York, NY, USA",Association for Computing Machinery,9798400708350.0,2023,"eSAAM '23: Proceedings of the 3rd Eclipse Security, AI, Architecture and Modelling Conference on Cloud to Edge Continuum",,proceedings,10.1145/3624486,,,,,,,,
,"Lisbon, Portugal",,,,,,,"New York, NY, USA",Association for Computing Machinery,9798400704987.0,2024,ICSE-SEET '24: Proceedings of the 46th International Conference on Software Engineering: Software Engineering Education and Training,,proceedings,10.1145/3639474,,,,,,,,
XP '18,"Porto, Portugal","CFP, FSM, KPI, SP, agile, agile metrics, agile performance indicators, customer satisfaction, defect density, lead time, performance evaluation, quality, scrum, velocity",3.0,31.0,Proceedings of the 19th International Conference on Agile Software Development: Companion,10.1145/3234152.3234156,https://doi.org/10.1145/3234152.3234156,"New York, NY, USA",Association for Computing Machinery,9781450364225.0,2018,Agile performance indicators for team performance evaluation in a corporate environment,"Ertaban, Cihangir and Sarikaya, Erkan and Bagriyanik, Selami",inproceedings,10.1145/3234152.3234156,,,,,,,,
EuroMLSys '23,"Rome, Italy","data driven networking, safe machine learning",10.0,,Proceedings of the 3rd Workshop on Machine Learning and Systems,10.1145/3578356.3592574,https://doi.org/10.1145/3578356.3592574,"New York, NY, USA",Association for Computing Machinery,9798400700842.0,2023,Illuminating the hidden challenges of data-driven CDNs,"Benson, Theophilus A",inproceedings,10.1145/3578356.3592574,94–103,,,,,,,
,"Gdansk, Poland",,,,,,,"New York, NY, USA",Association for Computing Machinery,9798400702280.0,2023,RACS '23: Proceedings of the 2023 International Conference on Research in Adaptive and Convergent Systems,,proceedings,10.1145/3599957,,,,,,,,
Middleware '17,"Las Vegas, Nevada",,7.0,,Proceedings of the 18th ACM/IFIP/USENIX Middleware Conference: Industrial Track,10.1145/3154448.3154453,https://doi.org/10.1145/3154448.3154453,"New York, NY, USA",Association for Computing Machinery,9781450352000.0,2017,"Usable declarative configuration specification and validation for applications, systems, and cloud","Baset, Salman and Suneja, Sahil and Bila, Nilton and Tuncer, Ozan and Isci, Canturk",inproceedings,10.1145/3154448.3154453,29–35,,,,,,,
IWSiB '24,"Lisbon, Portugal","agile software development, security practices, benefits, challenges, mapping study",8.0,,Proceedings of the 7th ACM/IEEE International Workshop on Software-Intensive Business,10.1145/3643690.3648241,https://doi.org/10.1145/3643690.3648241,"New York, NY, USA",Association for Computing Machinery,9798400705717.0,2024,Security Practices in Agile Software Development: A Mapping Study,"Selva-Mora, Alejandra and Quesada-L\'{o}pez, Christian",inproceedings,10.1145/3643690.3648241,56–63,,,,,,,
CCS '23,"Copenhagen, Denmark","code security, security warnings, usable security",15.0,,Proceedings of the 2023 ACM SIGSAC Conference on Computer and Communications Security,10.1145/3576915.3623174,https://doi.org/10.1145/3576915.3623174,"New York, NY, USA",Association for Computing Machinery,9798400700507.0,2023,The Effectiveness of Security Interventions on GitHub,"Fischer, Felix and H\""{o}benreich, Jonas and Grossklags, Jens",inproceedings,10.1145/3576915.3623174,2426–2440,,,,,,,
,"Salerno, Italy",,,,,,,"New York, NY, USA",Association for Computing Machinery,9798400717017.0,2024,EASE '24: Proceedings of the 28th International Conference on Evaluation and Assessment in Software Engineering,,proceedings,10.1145/3661167,,,,,,,,
FIRA '22,"Amsterdam, Netherlands","layered networking, microservices, private networking, semantic routing",6.0,,Proceedings of the ACM SIGCOMM Workshop on Future of Internet Routing &amp; Addressing,10.1145/3527974.3545716,https://doi.org/10.1145/3527974.3545716,"New York, NY, USA",Association for Computing Machinery,9781450393287.0,2022,"Namespaces, security, and network addresses","Reid, Andy and Eardley, Philip and Kutscher, Dirk",inproceedings,10.1145/3527974.3545716,31–36,,,,,,,
SSPS '19,"Beijing, China","Distributed optic-fiber sensing, adaptive filtering, convolutional neural network, image processing, oil and gas pipeline",5.0,,Proceedings of the 2019 International Symposium on Signal Processing Systems,10.1145/3364908.3364918,https://doi.org/10.1145/3364908.3364918,"New York, NY, USA",Association for Computing Machinery,9781450362412.0,2019,Signal Analysis of Distributed Optic-Fiber Sensing Used for Oil and Gas Pipeline Monitoring,"Yang, Yue and Li, Jun and Tian, Ming and Zhou, Yang and Dong, Lei and He, Jing xin",inproceedings,10.1145/3364908.3364918,21–25,,,,,,,
CHASE '24,"Lisbon, Portugal","third-party, software library, adoption process, decision pattern, open-source software, grounded theory, interview study, qualitative research",12.0,,Proceedings of the 2024 IEEE/ACM 17th International Conference on Cooperative and Human Aspects of Software Engineering,10.1145/3641822.3641865,https://doi.org/10.1145/3641822.3641865,"New York, NY, USA",Association for Computing Machinery,9798400705335.0,2024,"""How do people decide?"": A Model for Software Library Selection","Tanzil, Minaoar Hossain and Uddin, Gias and Barcomb, Ann",inproceedings,10.1145/3641822.3641865,1–12,,,,,,,
SIGMIS-CPR '25,,"Job Demands Resources (JD-R) Model, Quality Assurance (QA), Software Development Lifecycle (SDLC), Software testing, early-career professionals, qualitative thematic analysis",8.0,13.0,Proceedings of the 2025 Computers and People Research Conference,10.1145/3716489.3728443,https://doi.org/10.1145/3716489.3728443,"New York, NY, USA",Association for Computing Machinery,9798400714979.0,2025,“Not My First Choice”: Why Software Testing Struggles to Attract Early-Career Professionals,"Mulgund, Pavankumar and Singh, Raghvendra and Gillenson, Mark and Li, Yafang and Oliver, Carol",inproceedings,10.1145/3716489.3728443,,,,,,,,
,,"Threat Modeling, Embedded Systems Security, Hardware Security",,,,10.1145/3698396,https://doi.org/10.1145/3698396,"New York, NY, USA",Association for Computing Machinery,,2024,AttackDefense Framework (ADF): Enhancing IoT Devices and Lifecycles Threat Modeling,"Sacchetti, Tommaso and Bognar, Marton and De Meulemeester, Jesse and Gierlichs, Benedikt and Piessens, Frank and Bezsmertnyi, Volodymyr and Molteni, Maria Chiara and Cristalli, Stefano and Gringiani, Arianna and Thomas, Olivier and Antonioli, Daniele",article,10.1145/3698396,,October,ACM Trans. Embed. Comput. Syst.,1539-9087,,,,Just Accepted
,,"Containerization security, cloud computing, confidential computing, vulnerabilities, hardware-based security",36.0,170.0,,10.1145/3715001,https://doi.org/10.1145/3715001,"New York, NY, USA",Association for Computing Machinery,,2025,"A Container Security Survey: Exploits, Attacks, and Defenses","Jarkas, Omar and Ko, Ryan and Dong, Naipeng and Mahmud, Redowan",article,10.1145/3715001,,February,ACM Comput. Surv.,0360-0300,7,57.0,July 2025,
EASE '22,"Gothenburg, Sweden","DevBot, Empirical study, Secure programming, Software Chatbot",6.0,,Proceedings of the 26th International Conference on Evaluation and Assessment in Software Engineering,10.1145/3530019.3535307,https://doi.org/10.1145/3530019.3535307,"New York, NY, USA",Association for Computing Machinery,9781450396134.0,2022,Conversational DevBots for Secure Programming: An Empirical Study on SKF Chatbot,"Tony, Catherine and Balasubramanian, Mohana and D\'{\i}az Ferreyra, Nicol\'{a}s E. and Scandariato, Riccardo",inproceedings,10.1145/3530019.3535307,276–281,,,,,,,
,,"deployment configuration, design time, fog computing, generation, model-based engineering, modeling language, non-functional properties, verification",19.0,,,10.1145/3699839.3699841,https://doi.org/10.1145/3699839.3699841,"New York, NY, USA",Association for Computing Machinery,,2024,VeriFog: A Generic Model-based Approach for Verifying Fog Systems at Design Time and Generating Deployment Configurations,"Awad, Hiba and Alidra, Abdelghani and Bruneliere, Hugo and Ledoux, Thomas and Rivalan, Jonathan",article,10.1145/3699839.3699841,18–36,October,SIGAPP Appl. Comput. Rev.,1559-6915,3,24.0,September 2024,
CCS '23,"Copenhagen, Denmark","homomorphic encryption, lattice-based cryptography, malicious adversaries, multiparty computation",15.0,,Proceedings of the 2023 ACM SIGSAC Conference on Computer and Communications Security,10.1145/3576915.3623139,https://doi.org/10.1145/3576915.3623139,"New York, NY, USA",Association for Computing Machinery,9798400700507.0,2023,PELTA - Shielding Multiparty-FHE against Malicious Adversaries,"Chatel, Sylvain and Mouchet, Christian and Sahin, Ali Utkan and Pyrgelis, Apostolos and Troncoso, Carmela and Hubaux, Jean-Pierre",inproceedings,10.1145/3576915.3623139,711–725,,,,,,,
CSCS '23,"Darmstadt, Germany","Data visualization, Software health, Trustworthiness",9.0,1.0,Proceedings of the 7th ACM Computer Science in Cars Symposium,10.1145/3631204.3631859,https://doi.org/10.1145/3631204.3631859,"New York, NY, USA",Association for Computing Machinery,9798400704543.0,2023,Monitoring Automotive Software Security Health through Trustworthiness Score,"Sapin, Etienne and Menon, Suraj and Ge, Jingquan and Habib, Sheikh Mahbub and Heymann, Maurice and Li, Yuekang and Palige, Rene and Byman, Gabriel and Liu, Yang",inproceedings,10.1145/3631204.3631859,,,,,,,,
,"Lisbon, Portugal",,,,,,,"New York, NY, USA",Association for Computing Machinery,9798400705878.0,2024,MSR '24: Proceedings of the 21st International Conference on Mining Software Repositories,,proceedings,10.1145/3643991,,,,,,,,
IMC '24,"Madrid, Spain","code property graph, code snippets, fuzzy hashing, smart contracts",18.0,,Proceedings of the 2024 ACM on Internet Measurement Conference,10.1145/3646547.3688437,https://doi.org/10.1145/3646547.3688437,"New York, NY, USA",Association for Computing Machinery,9798400705922.0,2024,Analyzing the Impact of Copying-and-Pasting Vulnerable Solidity Code Snippets from Question-and-Answer Websites,"Weiss, Konrad and Ferreira Torres, Christof and Wendland, Florian",inproceedings,10.1145/3646547.3688437,713–730,,,,,,,
VaMoS '23,"Odense, Denmark","removing variability, software bloat, software variability",3.0,,Proceedings of the 17th International Working Conference on Variability Modelling of Software-Intensive Systems,10.1145/3571788.3571801,https://doi.org/10.1145/3571788.3571801,"New York, NY, USA",Association for Computing Machinery,9798400700019.0,2023,A Call for Removing Variability,"Acher, Mathieu and Lesoil, Luc and Randrianaina, Georges Aaron and T\""{e}rnava, Xhevahire and Zendra, Olivier",inproceedings,10.1145/3571788.3571801,82–84,,,,,,,
,,"Software Evolution, Software Migration, Re-designing, Re-engineering",35.0,142.0,,10.1145/3708527,https://doi.org/10.1145/3708527,"New York, NY, USA",Association for Computing Machinery,,2025,"Contemporary Software Modernization: Strategies, Driving Forces, and Research Opportunities","Assun\c{c}\~{a}o, Wesley K. G. and Marchezan, Luciano and Arkoh, Lawrence and Egyed, Alexander and Ramler, Rudolf",article,10.1145/3708527,,May,ACM Trans. Softw. Eng. Methodol.,1049-331X,5,34.0,June 2025,
SBSI '21,"Uberl\^{a}ndia, Brazil","Edge Devices, Information Security, Internet of Things, Security Certification, Security Compliance",9.0,47.0,Proceedings of the XVII Brazilian Symposium on Information Systems,10.1145/3466933.3466983,https://doi.org/10.1145/3466933.3466983,"New York, NY, USA",Association for Computing Machinery,9781450384919.0,2021,IoT solution information security certification conceptual framework: IoT solution information securityOn improving the transparency and accountability of IoT Solutions through an Open World perspective,"Otavio Duarte, Luiz and de Lima Prestes, Jos\'{e} Augusto",inproceedings,10.1145/3466933.3466983,,,,,,,,
,,"Cyber resilience, cyber resilience engineering framework (CREF), cybersecurity, risk management, threat modelling, and cyber-attacks",48.0,196.0,,10.1145/3649218,https://doi.org/10.1145/3649218,"New York, NY, USA",Association for Computing Machinery,,2024,"A Survey on Cyber Resilience: Key Strategies, Research Challenges, and Future Directions","Alhidaifi, Saleh Mohamed and Asghar, Muhammad Rizwan and Ansari, Imran Shafique",article,10.1145/3649218,,April,ACM Comput. Surv.,0360-0300,8,56.0,August 2024,
SBCCI '14,"Aracaju, Brazil","CEMA, CPA, Criptography, DPA, FFT, security, side-channel attacks",7.0,33.0,Proceedings of the 27th Symposium on Integrated Circuits and Systems Design,10.1145/2660540.2661001,https://doi.org/10.1145/2660540.2661001,"New York, NY, USA",Association for Computing Machinery,9781450331562.0,2014,Towards a Framework to Perform DPA Attack on GALS Pipeline Architectures,"Loder, Luciano and de Souza, Ad\~{a}o and Fay, Marcelo and Soares, Rafael",inproceedings,10.1145/2660540.2661001,,,,,,,,
,"Rotterdam, Netherlands",,,,,,,"New York, NY, USA",Association for Computing Machinery,9798400715600.0,2025,MECC '25: Proceedings of the 2nd International Workshop on MetaOS for the Cloud-Edge-IoT Continuum,,proceedings,10.1145/3721889,,,,,,,,
,"Melbourne, Australia",,,,,,,,IEEE Press,9798350300376.0,2023,ICSE-SEIP '23: Proceedings of the 45th International Conference on Software Engineering: Software Engineering in Practice,,proceedings,10.5555/3623293,,,,,,,,
ICSE-SEET '17,"Buenos Aires, Argentina","curriculum design, education, software engineering",10.0,,Proceedings of the 39th International Conference on Software Engineering: Software Engineering and Education Track,10.1109/ICSE-SEET.2017.5,https://doi.org/10.1109/ICSE-SEET.2017.5,,IEEE Press,9781538626719.0,2017,Lean learning: applying lean techniques to improve software engineering education,"Chatley, Robert and Field, Tony",inproceedings,10.1109/ICSE-SEET.2017.5,117–126,,,,,,,
ICSE '21,"Madrid, Spain","code review, security, vulnerability",13.0,,Proceedings of the 43rd International Conference on Software Engineering,10.1109/ICSE43902.2021.00124,https://doi.org/10.1109/ICSE43902.2021.00124,,IEEE Press,9781450390859.0,2021,Why Security Defects Go Unnoticed during Code Reviews? A Case-Control Study of the Chromium OS Project,"Paul, Rajshakhar and Turzo, Asif Kamal and Bosu, Amiangshu",inproceedings,10.1109/ICSE43902.2021.00124,1373–1385,,,,,,,
EASE '20,"Trondheim, Norway","Quality requirement, agile software development, documentation, non-functional requirements",10.0,,Proceedings of the 24th International Conference on Evaluation and Assessment in Software Engineering,10.1145/3383219.3383245,https://doi.org/10.1145/3383219.3383245,"New York, NY, USA",Association for Computing Machinery,9781450377317.0,2020,Documentation of Quality Requirements in Agile Software Development,"Behutiye, Woubshet and Sepp\""{a}nen, Pertti and Rodr\'{\i}guez, Pilar and Oivo, Markku",inproceedings,10.1145/3383219.3383245,250–259,,,,,,,
EASE '20,"Trondheim, Norway","Classical grounded theory, Security concerns, hypothetical framework",6.0,,Proceedings of the 24th International Conference on Evaluation and Assessment in Software Engineering,10.1145/3383219.3383285,https://doi.org/10.1145/3383219.3383285,"New York, NY, USA",Association for Computing Machinery,9781450377317.0,2020,Towards a Hypothetical Framework to Secure DevOps Adoption: Grounded Theory Approach,"Rafi, Saima and Yu, Wu and Akbar, Muhammad Azeem",inproceedings,10.1145/3383219.3383285,457–462,,,,,,,
BotSE '22,"Pittsburgh, Pennsylvania","FastText, GitBot, classification, custom label, issue report",5.0,,Proceedings of the Fourth International Workshop on Bots in Software Engineering,10.1145/3528228.3528404,https://doi.org/10.1145/3528228.3528404,"New York, NY, USA",Association for Computing Machinery,9781450393331.0,2022,Classifying issues into custom labels in GitBot,"Park, Doje and Cho, Heetae and Lee, Seonah",inproceedings,10.1145/3528228.3528404,28–32,,,,,,,
UCC '17,"Austin, Texas, USA","cloud native applications, microservices, security assessment, vulnerability detection",10.0,,Proceedings of The10th International Conference on Utility and Cloud Computing,10.1145/3147213.3147229,https://doi.org/10.1145/3147213.3147229,"New York, NY, USA",Association for Computing Machinery,9781450351492.0,2017,Integrating Continuous Security Assessments in Microservices and Cloud Native Applications,"Torkura, Kennedy A. and Sukmana, Muhammad I.H. and Meinel, Christoph",inproceedings,10.1145/3147213.3147229,171–180,,,,,,,
,,"Quality model, quality characteristics, measure, ISO, qualimetry",41.0,9.0,,10.1145/3691642,https://doi.org/10.1145/3691642,"New York, NY, USA",Association for Computing Machinery,,2024,An Operational Quality Model of Embedded Software Aligned with ISO 25000,"Argotti, Yann and Kenfaoui, Yasmine and Baron, Claude and Abran, Alain and Esteban, Philippe",article,10.1145/3691642,,November,ACM Trans. Embed. Comput. Syst.,1539-9087,1,24.0,January 2025,
HoTSoS,"Hanover, MD, USA",,10.0,,Proceedings of the Hot Topics in Science of Security: Symposium and Bootcamp,10.1145/3055305.3055312,https://doi.org/10.1145/3055305.3055312,"New York, NY, USA",Association for Computing Machinery,9781450352741.0,2017,Surveying Security Practice Adherence in Software Development,"Morrison, Patrick and Smith, Benjamin H. and Williams, Laurie",inproceedings,10.1145/3055305.3055312,85–94,,,,,,,
,"Rochester, MI, USA",,,,,,,"New York, NY, USA",Association for Computing Machinery,9781450394758.0,2022,ASE '22: Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering,,proceedings,10.1145/3551349,,,,,,,,
ICSE '23,"Melbourne, Victoria, Australia","secure coding, security compliance",13.0,,Proceedings of the 45th International Conference on Software Engineering,10.1109/ICSE48619.2023.00140,https://doi.org/10.1109/ICSE48619.2023.00140,,IEEE Press,9781665457019.0,2023,Measuring Secure Coding Practice and Culture: A Finger Pointing at the Moon is Not the Moon,"Ryan, Ita and Roedig, Utz and Stol, Klaas-Jan",inproceedings,10.1109/ICSE48619.2023.00140,1622–1634,,,,,,,
ARES '22,"Vienna, Austria",,8.0,75.0,"Proceedings of the 17th International Conference on Availability, Reliability and Security",10.1145/3538969.3544477,https://doi.org/10.1145/3538969.3544477,"New York, NY, USA",Association for Computing Machinery,9781450396707.0,2022,"Demonstration of alignment of the Pan-European Cybersecurity Incidents Information Sharing Platform to Cybersecurity policy, regulatory and legislative advancements","Skias, Dimitrios and Tsekeridou, Sofia and Zahariadis, Theodore and Voulkidis, Artemis and Velivassaki, Terpsichori-Helen",inproceedings,10.1145/3538969.3544477,,,,,,,,
ASSE '21,"Macau, Macao","Collaboration in software development, Global Software maintenance, challenges of development, design of interface, industry experience, project organization, testing",7.0,,2021 2nd Asia Service Sciences and Software Engineering Conference,10.1145/3456126.3456144,https://doi.org/10.1145/3456126.3456144,"New York, NY, USA",Association for Computing Machinery,9781450389082.0,2021,Challenges in the Development of a Global Software User Interface by Multicultural Teams: an Industrial Experience,"Penha-Junior, Agnaldo O. and De Souza, Carlos E. and Souza, Guibson M. and Araujo, Jaqueline S. and Vilarouca-Filho, Jos\'{e} Ivan B. and Barroso, Leon M. and Fernandes, Rodrigo j. B. and Fonseca, Paulo Cesar R. and Giuntini, Felipe T.",inproceedings,10.1145/3456126.3456144,41–47,,,,,,,
,"Avila, Spain",,,,,,,"New York, NY, USA",Association for Computing Machinery,9798400702433.0,2024,SAC '24: Proceedings of the 39th ACM/SIGAPP Symposium on Applied Computing,,proceedings,10.1145/3605098,,,,,,,,
ICSE '18,"Gothenburg, Sweden",,12.0,,Proceedings of the 40th International Conference on Software Engineering,10.1145/3180155.3180209,https://doi.org/10.1145/3180155.3180209,"New York, NY, USA",Association for Computing Machinery,9781450356381.0,2018,Adding sparkle to social coding: an empirical study of repository badges in the npm ecosystem,"Trockman, Asher and Zhou, Shurui and K\""{a}stner, Christian and Vasilescu, Bogdan",inproceedings,10.1145/3180155.3180209,511–522,,,,,,,
HotOS '17,"Whistler, BC, Canada",,7.0,,Proceedings of the 16th Workshop on Hot Topics in Operating Systems,10.1145/3102980.3102991,https://doi.org/10.1145/3102980.3102991,"New York, NY, USA",Association for Computing Machinery,9781450350686.0,2017,A Clairvoyant Approach to Evaluating Software (In)Security,"Jain, Bhushan and Tsai, Chia-Che and Porter, Donald E.",inproceedings,10.1145/3102980.3102991,62–68,,,,,,,
EASE '22,"Gothenburg, Sweden","Qualitative Analysis, Software Engineering, Software Engineering Education, Software Quality, Static Code Analysis",10.0,,Proceedings of the 26th International Conference on Evaluation and Assessment in Software Engineering,10.1145/3530019.3530036,https://doi.org/10.1145/3530019.3530036,"New York, NY, USA",Association for Computing Machinery,9781450396134.0,2022,Evaluating Code Improvements in Software Quality Course Projects,"Chren, Stanislav and Mac\'{a}k, Martin and Rossi, Bruno and Buhnova, Barbora",inproceedings,10.1145/3530019.3530036,160–169,,,,,,,
eSAAM '23,"Ludwigsburg, Germany","Containerization, Containers, Unikernels, Virtualization",10.0,,"Proceedings of the 3rd Eclipse Security, AI, Architecture and Modelling Conference on Cloud to Edge Continuum",10.1145/3624486.3624492,https://doi.org/10.1145/3624486.3624492,"New York, NY, USA",Association for Computing Machinery,9798400708350.0,2023,"Unikernels Motivations, Benefits and Issues: A Multivocal Literature Review","El Ioini, Nabil and El Majjodi, Ayoub and Hastbacka, David and Cerny, Tomas and Taibi, Davide",inproceedings,10.1145/3624486.3624492,39–48,,,,,,,
,,,,,,,,"New York, NY, USA",Association for Computing Machinery,9798400717406.0,2024,LADC '24: Proceedings of the 13th Latin-American Symposium on Dependable and Secure Computing,,proceedings,10.1145/3697090,,,,,,,,
ICSE-SEIP '20,"Seoul, South Korea","SGX, privacy-preserving computation, rust, software supply chain, third-party library",10.0,,Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering: Software Engineering in Practice,10.1145/3377813.3381348,https://doi.org/10.1145/3377813.3381348,"New York, NY, USA",Association for Computing Machinery,9781450371230.0,2020,Building and maintaining a third-party library supply chain for productive and secure SGX enclave development,"Wang, Pei and Ding, Yu and Sun, Mingshen and Wang, Huibo and Li, Tongxin and Zhou, Rundong and Chen, Zhaofeng and Jing, Yiming",inproceedings,10.1145/3377813.3381348,100–109,,,,,,,
,"Lisbon, Portugal",,,,,,,"New York, NY, USA",Association for Computing Machinery,9798400702174.0,2024,ICSE '24: Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,,proceedings,10.1145/3597503,,,,,,,,
,"Campo Grande, Brazil",,,,,,,"New York, NY, USA",Association for Computing Machinery,9798400707872.0,2023,SBES '23: Proceedings of the XXXVII Brazilian Symposium on Software Engineering,,proceedings,10.1145/3613372,,,,,,,,
CHI '20,"Honolulu, HI, USA","cryptographic apis, developer console, focus groups, participatory design, security warning design, software development",13.0,,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems,10.1145/3313831.3376142,https://doi.org/10.1145/3313831.3376142,"New York, NY, USA",Association for Computing Machinery,9781450367080.0,2020,Listen to Developers! A Participatory Design Study on Security Warnings for Cryptographic APIs,"Gorski, Peter Leo and Acar, Yasemin and Lo Iacono, Luigi and Fahl, Sascha",inproceedings,10.1145/3313831.3376142,1–13,,,,,,,
,"Lisbon, Portugal",,,,,,,"New York, NY, USA",Association for Computing Machinery,9798400705335.0,2024,CHASE '24: Proceedings of the 2024 IEEE/ACM 17th International Conference on Cooperative and Human Aspects of Software Engineering,,proceedings,10.1145/3641822,,,,,,,,
,,,,,,,,"New York, NY, USA",Association for Computing Machinery,9798400717772.0,2024,SBQS '24: Proceedings of the XXIII Brazilian Symposium on Software Quality,,proceedings,10.1145/3701625,,,,,,,,
,,"Exploitability, software vulnerability",41.0,205.0,,10.1145/3648610,https://doi.org/10.1145/3648610,"New York, NY, USA",Association for Computing Machinery,,2024,A Survey on Software Vulnerability Exploitability Assessment,"Elder, Sarah and Rahman, Md Rayhanur and Fringer, Gage and Kapoor, Kunal and Williams, Laurie",article,10.1145/3648610,,April,ACM Comput. Surv.,0360-0300,8,56.0,August 2024,
